task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_brutal,"(2,)",4.0,1.0,True,0.5,geo,0.38,0.02458,0.02657,0.02256,0.02458,0.004,0.052,0.052,0.0052,0.004
typo_brutal,"(2,)",4.0,1.0,True,1.0,geo,0.33,0.02925,0.03197,0.02536,0.02925,0.008,0.06,0.06,0.006,0.008
typo_brutal,"(1, 2)",0.0,1.0,False,0.0,dice,11.33,0.16718,0.19612,0.16926,0.16718,0.104,0.312,0.312,0.0312,0.104
typo_brutal,"(1, 2)",0.0,1.0,False,0.5,dice,13.24,0.22915,0.25529,0.23567,0.22915,0.16,0.368,0.368,0.0368,0.16
typo_brutal,"(1, 2)",0.0,1.0,False,1.0,dice,12.41,0.24721,0.27417,0.25776,0.24721,0.172,0.388,0.388,0.0388,0.172
typo_brutal,"(1, 2)",0.0,1.0,True,0.0,dice,13.45,0.3125,0.35038,0.32368,0.3125,0.212,0.504,0.504,0.0504,0.212
typo_brutal,"(1, 2)",0.0,1.0,True,0.5,dice,13.08,0.35787,0.39575,0.36327,0.35787,0.26,0.548,0.548,0.0548,0.26
typo_brutal,"(1, 2)",0.0,1.0,True,1.0,dice,13.66,0.36242,0.39747,0.37241,0.36242,0.264,0.544,0.544,0.0544,0.264
typo_brutal,"(1, 2)",0.0,1.0,True,0.0,geo,13.77,0.29536,0.33299,0.30808,0.29536,0.204,0.488,0.488,0.0488,0.204
typo_brutal,"(1, 2)",0.0,1.0,True,0.5,geo,13.53,0.33456,0.37557,0.34174,0.33456,0.228,0.536,0.536,0.0536,0.228
typo_brutal,"(1, 2)",0.0,1.0,True,1.0,geo,13.49,0.35347,0.39337,0.36226,0.35347,0.252,0.552,0.552,0.0552,0.252
typo_brutal,"(1, 2)",0.0,2.0,False,0.0,dice,13.36,0.11354,0.13132,0.11184,0.11354,0.068,0.216,0.216,0.0216,0.068
typo_brutal,"(1, 2)",0.0,2.0,False,0.5,dice,13.14,0.16866,0.19087,0.17245,0.16866,0.108,0.292,0.292,0.0292,0.108
typo_brutal,"(1, 2)",0.0,2.0,False,1.0,dice,13.17,0.21153,0.23603,0.21783,0.21153,0.14,0.344,0.344,0.0344,0.14
typo_brutal,"(1, 2)",0.0,2.0,True,0.0,dice,13.37,0.29229,0.33225,0.29487,0.29229,0.204,0.496,0.496,0.0496,0.204
typo_brutal,"(1, 2)",0.0,2.0,True,0.5,dice,13.01,0.3687,0.41189,0.38005,0.3687,0.268,0.58,0.58,0.058,0.268
typo_brutal,"(1, 2)",0.0,2.0,True,1.0,dice,13.23,0.41288,0.45574,0.42064,0.41288,0.316,0.624,0.624,0.0624,0.316
typo_brutal,"(1, 2)",0.0,2.0,True,0.0,geo,13.01,0.27753,0.31938,0.27799,0.27753,0.188,0.488,0.488,0.0488,0.188
typo_brutal,"(1, 2)",0.0,2.0,True,0.5,geo,13.64,0.35641,0.40067,0.36291,0.35641,0.252,0.572,0.572,0.0572,0.252
typo_brutal,"(1, 2)",0.0,2.0,True,1.0,geo,13.17,0.39492,0.44013,0.40101,0.39492,0.292,0.616,0.616,0.0616,0.292
typo_brutal,"(1, 2)",0.5,1.0,False,0.0,dice,12.49,0.17671,0.20783,0.18163,0.17671,0.108,0.332,0.332,0.0332,0.108
typo_brutal,"(1, 2)",0.5,1.0,False,0.5,dice,12.33,0.20803,0.23735,0.21495,0.20803,0.132,0.356,0.356,0.0356,0.132
typo_brutal,"(1, 2)",0.5,1.0,False,1.0,dice,12.46,0.23455,0.26536,0.24403,0.23455,0.16,0.388,0.388,0.0388,0.16
typo_brutal,"(1, 2)",0.5,1.0,True,0.0,dice,13.4,0.2853,0.32133,0.29503,0.2853,0.184,0.468,0.468,0.0468,0.184
typo_brutal,"(1, 2)",0.5,1.0,True,0.5,dice,13.14,0.33043,0.36977,0.33518,0.33043,0.236,0.528,0.528,0.0528,0.236
typo_brutal,"(1, 2)",0.5,1.0,True,1.0,dice,13.36,0.36031,0.40059,0.36314,0.36031,0.276,0.56,0.56,0.056,0.276
typo_brutal,"(1, 2)",0.5,1.0,True,0.0,geo,13.19,0.27915,0.31694,0.2871,0.27915,0.18,0.468,0.468,0.0468,0.18
typo_brutal,"(1, 2)",0.5,1.0,True,0.5,geo,13.02,0.31973,0.35782,0.3282,0.31973,0.22,0.512,0.512,0.0512,0.22
typo_brutal,"(1, 2)",0.5,1.0,True,1.0,geo,13.15,0.34145,0.38362,0.3504,0.34145,0.248,0.548,0.548,0.0548,0.248
typo_brutal,"(1, 2)",0.5,2.0,False,0.0,dice,13.12,0.17688,0.19772,0.17953,0.17688,0.12,0.296,0.296,0.0296,0.12
