n,idf_exponent,dim,normalize,position_weight,denominator,mean_rank,worst_rank,mean_normalized_map,map_abtbuy,map_ermagellan,map_typo,map_typo_brutal,map_typo_hard,map_typo_ms
"(2, 4)",2.0,2.0,False,1.0,dice,156.0,182,0.7049,0.85515,0.7841,0.78141,0.09116,0.61301,0.79129
"(2, 4)",2.0,2.0,False,0.5,dice,156.5,181,0.7021,0.86703,0.77619,0.77707,0.08963,0.60439,0.78565
"(2, 3)",3.0,1.0,True,0.0,dice,156.5,215,0.5901,0.9115,0.83408,0.75446,0.04882,0.44501,0.63148
"(2, 4)",4.0,1.0,True,0.0,geo,156.5,236,0.5481,0.93676,0.88885,0.69095,0.0414,0.38259,0.58343
"(2, 4)",2.0,2.0,False,0.0,dice,157.5,188,0.6863,0.88297,0.77544,0.76691,0.08261,0.58082,0.76628
"(2, 4)",4.0,1.0,False,0.5,dice,158.83,200,0.6315,0.88358,0.82563,0.74845,0.06654,0.48938,0.72439
"(2, 4)",4.0,1.0,False,1.0,dice,159.5,197,0.6343,0.87775,0.83084,0.75336,0.06839,0.49154,0.7258
"(2, 4)",4.0,1.0,False,0.0,dice,159.67,209,0.6182,0.89519,0.82141,0.7314,0.06214,0.48007,0.70958
"(2,)",2.0,1.0,True,0.0,dice,159.67,193,0.6586,0.90025,0.73539,0.81177,0.0677,0.55443,0.69184
"(2, 4)",3.0,2.0,True,1.0,dice,160.0,211,0.5921,0.90568,0.82697,0.74981,0.05308,0.4646,0.62593
"(2, 3)",3.0,1.0,False,0.0,dice,160.33,222,0.5839,0.95,0.79894,0.70575,0.0569,0.43099,0.61607
"(2, 3)",3.0,2.0,False,0.0,dice,161.0,224,0.5701,0.945,0.8069,0.70296,0.05403,0.42068,0.59892
"(2, 3)",4.0,1.0,True,0.5,geo,161.5,241,0.5157,0.92817,0.89703,0.68132,0.03977,0.32745,0.56288
"(2, 4)",3.0,2.0,False,1.0,dice,162.5,193,0.6509,0.86159,0.81424,0.75561,0.07549,0.53382,0.75076
