task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(1, 3)",0.5,2.0,False,0.19,2.88,0.86694,0.88185,0.86694,0.82158,0.93361
typo,"(1, 3)",0.5,2.0,True,0.19,2.82,0.94817,0.95777,0.94817,0.92116,0.98755
typo,"(1, 3)",0.5,3.0,False,0.19,2.92,0.86508,0.87895,0.86508,0.82158,0.92946
typo,"(1, 3)",0.5,3.0,True,0.19,3.29,0.95197,0.96075,0.95197,0.92531,0.98755
typo,"(1, 3)",1.0,0.5,False,0.24,2.91,0.86218,0.8751,0.86218,0.82158,0.92116
typo,"(1, 3)",1.0,0.5,True,0.24,3.09,0.90594,0.91723,0.90594,0.86722,0.95436
typo,"(1, 3)",1.0,1.0,False,0.24,2.93,0.84891,0.86511,0.84891,0.80083,0.92116
typo,"(1, 3)",1.0,1.0,True,0.24,2.96,0.92269,0.93418,0.92269,0.88797,0.97095
typo,"(1, 3)",1.0,2.0,False,0.24,3.02,0.84619,0.86293,0.84619,0.80083,0.92116
typo,"(1, 3)",1.0,2.0,True,0.24,3.07,0.92352,0.93807,0.92352,0.89212,0.9834
typo,"(1, 3)",1.0,3.0,False,0.24,3.2,0.84059,0.85638,0.84059,0.79253,0.91286
typo,"(1, 3)",1.0,3.0,True,0.24,3.46,0.91084,0.92698,0.91084,0.87552,0.97925
typo,"(1, 3)",2.0,0.5,False,0.26,3.12,0.82087,0.84474,0.82087,0.76763,0.92531
typo,"(1, 3)",2.0,0.5,True,0.26,3.0,0.8828,0.90056,0.8828,0.84232,0.95851
typo,"(1, 3)",2.0,1.0,False,0.26,2.97,0.80896,0.83451,0.80896,0.75104,0.92116
typo,"(1, 3)",2.0,1.0,True,0.26,2.9,0.87198,0.88572,0.87198,0.83402,0.93361
typo,"(1, 3)",2.0,2.0,False,0.26,3.01,0.79025,0.81709,0.79025,0.72199,0.90871
typo,"(1, 3)",2.0,2.0,True,0.26,3.02,0.81086,0.82343,0.81086,0.76763,0.87137
typo,"(1, 3)",2.0,3.0,False,0.26,3.05,0.78713,0.81371,0.78713,0.71784,0.90456
typo,"(1, 3)",2.0,3.0,True,0.26,3.22,0.76647,0.78492,0.76647,0.71369,0.85062
typo,"(1, 3)",3.0,0.5,False,0.23,3.04,0.76123,0.78906,0.76123,0.6805,0.88797
typo,"(1, 3)",3.0,0.5,True,0.23,3.1,0.81751,0.83925,0.81751,0.75934,0.91286
typo,"(1, 3)",3.0,1.0,False,0.23,2.83,0.74946,0.77927,0.74946,0.66805,0.88382
typo,"(1, 3)",3.0,1.0,True,0.23,2.94,0.77871,0.79299,0.77871,0.74689,0.84647
typo,"(1, 3)",3.0,2.0,False,0.23,2.89,0.75215,0.78151,0.75215,0.6722,0.88382
typo,"(1, 3)",3.0,2.0,True,0.23,2.99,0.68955,0.71158,0.68955,0.639,0.78423
typo,"(1, 3)",3.0,3.0,False,0.23,3.11,0.75213,0.78151,0.75213,0.6722,0.88382
typo,"(1, 3)",3.0,3.0,True,0.23,3.08,0.64459,0.67012,0.64459,0.59336,0.75934
typo,"(2, 3)",0.0,0.5,False,0.2,0.15,0.86235,0.8808,0.86235,0.81743,0.94191
typo,"(2, 3)",0.0,0.5,True,0.2,0.19,0.87367,0.89283,0.87367,0.83402,0.95436
typo,"(2, 3)",0.0,1.0,False,0.2,0.19,0.86285,0.88007,0.86285,0.81743,0.93776
typo,"(2, 3)",0.0,1.0,True,0.2,0.23,0.87904,0.89675,0.87904,0.84232,0.95436
typo,"(2, 3)",0.0,2.0,False,0.2,0.2,0.86394,0.88304,0.86394,0.81743,0.94606
typo,"(2, 3)",0.0,2.0,True,0.2,0.29,0.88369,0.9033,0.88369,0.84232,0.9668
typo,"(2, 3)",0.0,3.0,False,0.2,0.37,0.86527,0.88524,0.86527,0.81743,0.95021
typo,"(2, 3)",0.0,3.0,True,0.2,0.39,0.88656,0.90551,0.88656,0.83817,0.9668
typo,"(2, 3)",0.5,0.5,False,0.2,0.25,0.85853,0.87678,0.85853,0.81328,0.93776
typo,"(2, 3)",0.5,0.5,True,0.2,0.3,0.874,0.8933,0.874,0.82988,0.95436
typo,"(2, 3)",0.5,1.0,False,0.2,0.22,0.85652,0.8753,0.85652,0.80913,0.93776
typo,"(2, 3)",0.5,1.0,True,0.2,0.15,0.87798,0.89613,0.87798,0.83402,0.95436
typo,"(2, 3)",0.5,2.0,False,0.2,0.14,0.8583,0.87654,0.8583,0.80913,0.93776
typo,"(2, 3)",0.5,2.0,True,0.2,0.28,0.88583,0.90518,0.88583,0.83817,0.9668
typo,"(2, 3)",0.5,3.0,False,0.2,0.37,0.85943,0.87969,0.85943,0.80913,0.94606
typo,"(2, 3)",0.5,3.0,True,0.2,0.37,0.89311,0.91182,0.89311,0.84647,0.97095
typo,"(2, 3)",1.0,0.5,False,0.24,0.27,0.84425,0.86497,0.84425,0.78838,0.93361
typo,"(2, 3)",1.0,0.5,True,0.24,0.29,0.87103,0.89115,0.87103,0.82158,0.95436
typo,"(2, 3)",1.0,1.0,False,0.24,0.17,0.84243,0.86482,0.84243,0.78423,0.93776
typo,"(2, 3)",1.0,1.0,True,0.24,0.15,0.87852,0.89637,0.87852,0.83402,0.95436
typo,"(2, 3)",1.0,2.0,False,0.24,0.25,0.84393,0.8659,0.84393,0.78423,0.93776
typo,"(2, 3)",1.0,2.0,True,0.24,0.28,0.88313,0.90204,0.88313,0.83402,0.96266
typo,"(2, 3)",1.0,3.0,False,0.24,0.36,0.84372,0.86573,0.84372,0.78423,0.93776
typo,"(2, 3)",1.0,3.0,True,0.24,0.41,0.88749,0.90647,0.88749,0.83817,0.9668
typo,"(2, 3)",2.0,0.5,False,0.25,0.25,0.81924,0.84004,0.81924,0.76349,0.91286
typo,"(2, 3)",2.0,0.5,True,0.25,0.22,0.85024,0.86907,0.85024,0.80498,0.93361
typo,"(2, 3)",2.0,1.0,False,0.25,0.21,0.81539,0.83602,0.81539,0.75934,0.90871
typo,"(2, 3)",2.0,1.0,True,0.25,0.28,0.85151,0.87209,0.85151,0.80498,0.94191
typo,"(2, 3)",2.0,2.0,False,0.25,0.24,0.80885,0.82987,0.80885,0.74689,0.90456
typo,"(2, 3)",2.0,2.0,True,0.25,0.29,0.84688,0.86776,0.84688,0.79253,0.93776
typo,"(2, 3)",2.0,3.0,False,0.25,0.33,0.79414,0.81901,0.79414,0.72199,0.90456
typo,"(2, 3)",2.0,3.0,True,0.25,0.34,0.84044,0.8654,0.84044,0.77593,0.94606
typo,"(2, 3)",3.0,0.5,False,0.19,0.21,0.74274,0.77866,0.74274,0.6556,0.90041
typo,"(2, 3)",3.0,0.5,True,0.19,0.29,0.79573,0.82092,0.79573,0.72614,0.90871
typo,"(2, 3)",3.0,1.0,False,0.19,0.21,0.72959,0.76897,0.72959,0.63071,0.90041
typo,"(2, 3)",3.0,1.0,True,0.19,0.24,0.77566,0.80839,0.77566,0.6971,0.91701
typo,"(2, 3)",3.0,2.0,False,0.19,0.25,0.72115,0.75817,0.72115,0.62241,0.88382
typo,"(2, 3)",3.0,2.0,True,0.19,0.31,0.74156,0.77513,0.74156,0.65975,0.89212
typo,"(2, 3)",3.0,3.0,False,0.19,0.35,0.72128,0.75589,0.72128,0.62656,0.87552
typo,"(2, 3)",3.0,3.0,True,0.19,0.42,0.73336,0.76771,0.73336,0.65145,0.88797
typo,"(2, 4)",0.0,0.5,False,0.3,0.22,0.84887,0.86818,0.84887,0.80083,0.93361
typo,"(2, 4)",0.0,0.5,True,0.3,0.24,0.85856,0.87752,0.85856,0.81328,0.94191
typo,"(2, 4)",0.0,1.0,False,0.3,0.15,0.85781,0.87578,0.85781,0.80913,0.93776
typo,"(2, 4)",0.0,1.0,True,0.3,0.14,0.86897,0.88843,0.86897,0.82573,0.95436
typo,"(2, 4)",0.0,2.0,False,0.3,0.21,0.86618,0.88573,0.86618,0.81743,0.95021
typo,"(2, 4)",0.0,2.0,True,0.3,0.22,0.88992,0.90673,0.88992,0.84647,0.96266
typo,"(2, 4)",0.0,3.0,False,0.3,0.32,0.87224,0.8939,0.87224,0.82158,0.96266
typo,"(2, 4)",0.0,3.0,True,0.3,0.38,0.89017,0.90942,0.89017,0.84232,0.97095
typo,"(2, 4)",0.5,0.5,False,0.39,0.26,0.84419,0.86476,0.84419,0.79668,0.93361
